Date,US_All_items,US_All_items_less_food_energy,US_Food,US_Energy,US_Gasoline_all_types,US_Medical_care,US_Physicians_services,US_Hospital_services,US_Prescription_drugs,US_Shelter
2018-01-01,247.867,254.638,252.361,210.663,223.806,481.06,379.077,328.635,527.767,302.928
2018-02-01,248.991,255.783,252.266,213.519,227.42,482.897,380.47,329.701,529.279,303.653
2018-03-01,249.554,256.61,252.37,212.554,226.872,483.984,380.766,330.759,528.167,304.847
2018-04-01,250.546,257.025,253.209,218.83,240.962,484.034,381.076,331.289,526.345,305.716
2018-05-01,251.588,257.469,253.098,226.81,255.096,484.853,381.309,331.651,531.692,306.913
2018-06-01,251.989,257.697,253.231,229.137,255.885,486.019,380.991,333.408,533.72,307.521
2018-07-01,252.006,257.867,253.746,227.107,252.232,485.193,380.404,334.033,528.865,308.393
2018-08-01,252.146,258.012,254.077,226.939,251.367,484.172,380.143,332.708,530.165,309.296
2018-09-01,252.439,258.429,254.393,226.165,252.216,484.708,380.928,332.595,528.124,309.702
2018-10-01,252.885,259.063,254.358,225.757,253.793,485.269,380.489,332.853,524.37,310.382
2018-11-01,252.038,259.105,254.379,215.91,235.381,486.886,379.872,334.242,525.494,310.95
2018-12-01,251.233,259.083,255.21,205.905,212.152,487.409,379.885,334.964,522.105,311.652
2019-01-01,251.712,260.122,256.417,200.563,201.194,490.204,382.032,336.225,525.103,312.696
2019-02-01,252.776,261.114,257.222,202.74,206.749,491.227,383.009,336.234,522.971,313.88
2019-03-01,254.202,261.836,257.724,211.724,225.282,492.306,381.045,336.648,526.097,315.135
2019-04-01,255.548,262.332,257.708,222.499,248.499,493.331,382.15,335.198,528.008,316.263
2019-05-01,256.092,262.59,258.11,225.773,254.551,494.928,382.436,335.966,526.439,317.188
2019-06-01,256.143,263.177,258.064,221.373,242.043,495.563,382.702,335.078,522.957,318.3
2019-07-01,256.571,263.566,258.274,222.492,244.0,497.687,383.047,336.604,524.829,319.136
2019-08-01,256.558,264.169,258.41,216.978,233.625,500.916,382.858,339.781,526.629,319.679
2019-09-01,256.759,264.522,258.943,215.418,231.496,501.468,384.454,339.512,522.518,320.569
2019-10-01,257.346,265.059,259.632,216.351,235.168,506.1,384.901,344.363,529.635,320.762
2019-11-01,257.208,265.108,259.467,214.636,232.575,507.541,385.01,345.227,528.285,321.267
2019-12-01,256.974,264.935,259.823,212.982,228.857,509.689,385.092,344.933,537.946,321.766
2020-01-01,257.971,266.004,261.057,213.043,227.01,512.149,384.715,349.152,538.154,323.053
2020-02-01,258.678,267.268,261.876,208.354,218.373,513.923,386.202,350.635,535.548,324.254
2020-03-01,258.115,267.312,262.708,199.573,202.205,515.605,386.483,351.35,533.885,324.615
2020-04-01,256.389,266.089,266.757,183.081,168.891,517.053,386.862,352.676,533.767,324.522
2020-05-01,256.394,265.799,268.439,183.076,168.528,519.194,389.329,352.287,533.325,325.265
2020-06-01,257.797,266.302,269.77,193.379,185.422,520.734,390.718,352.794,533.46,325.814
2020-07-01,259.101,267.703,268.863,197.665,194.397,522.686,392.928,353.381,533.551,326.58
2020-08-01,259.918,268.756,269.079,197.362,194.449,523.295,393.025,353.332,534.254,326.997
2020-09-01,260.28,269.054,269.163,198.858,195.888,522.528,392.474,355.129,529.966,327.116
2020-10-01,260.388,269.328,269.828,196.458,192.792,520.725,392.099,354.289,527.649,327.273
2020-11-01,260.229,269.473,269.069,194.388,187.609,519.848,392.156,355.164,526.167,327.435
2020-12-01,260.474,269.226,270.023,198.155,193.99,518.766,391.807,355.232,525.244,327.702
2021-01-01,261.582,269.755,270.938,205.273,207.406,522.133,397.892,358.733,525.434,328.282
2021-02-01,263.014,270.696,271.363,213.277,221.689,524.207,405.897,359.521,521.231,329.005
2021-03-01,264.877,271.713,271.812,225.861,247.652,524.734,407.048,361.468,521.375,330.122
2021-04-01,267.054,273.968,273.09,229.116,252.603,524.585,405.869,361.585,523.876,331.354
2021-05-01,269.195,275.893,274.212,235.339,263.17,523.918,405.744,361.285,522.116,332.454
2021-06-01,271.696,278.218,276.206,240.72,268.979,522.989,406.812,361.384,519.861,334.222
2021-07-01,273.003,279.146,278.127,244.8,275.656,524.219,408.445,363.254,519.957,335.812
2021-08-01,273.567,279.507,279.135,246.639,277.448,525.247,408.49,365.843,519.729,336.284
2021-09-01,274.31,279.884,281.506,248.228,278.338,524.818,407.266,366.394,521.506,337.451
2021-10-01,276.589,281.617,284.205,255.338,288.501,527.564,407.391,368.593,523.862,338.671
2021-11-01,277.948,282.754,285.507,259.1,296.571,528.877,408.843,367.479,524.509,339.997
2021-12-01,278.802,283.908,286.966,256.207,290.185,530.026,408.644,366.854,525.251,341.241
2022-01-01,281.148,285.996,289.772,260.653,290.416,535.048,408.335,371.646,532.044,342.604
2022-02-01,283.716,288.059,292.794,267.771,305.959,536.932,407.984,371.745,533.592,344.607
2022-03-01,287.504,289.305,295.728,298.246,366.499,539.739,409.998,373.307,532.722,346.618
2022-04-01,289.109,290.846,298.711,298.469,362.802,541.515,410.83,374.501,532.975,348.389
